num_roots,num_fine_roots,num_patents,total_citation,avg_citation
2,2,3,4,1.3333333333333333
1,2,2,5,2.5
1,1,1,1,1.0
4,9,18,191,10.61111111111111
5,7,20,484,24.2
4,9,67,576,8.597014925373134
5,20,314,2610,8.312101910828025
5,13,160,3732,23.325
5,7,27,590,21.85185185185185
1,1,2,77,38.5
4,7,32,1808,56.5
2,5,10,62,6.2
2,4,9,152,16.88888888888889
3,5,10,611,61.1
4,6,26,494,19.0
4,6,74,882,11.91891891891892
1,1,1,1,1.0
2,4,9,269,29.88888888888889
3,7,11,464,42.18181818181818
2,2,10,36,3.6
3,3,14,93,6.642857142857143
4,7,17,84,4.9411764705882355
2,2,24,129,5.375
6,15,82,924,11.268292682926829
4,7,20,328,16.4
2,3,7,54,7.714285714285714
4,10,17,77,4.529411764705882
1,1,3,41,13.666666666666666
2,3,6,35,5.833333333333333
4,8,17,95,5.588235294117647
1,1,1,26,26.0
3,3,14,1015,72.5
3,3,4,10,2.5
3,6,11,177,16.09090909090909
2,2,15,116,7.733333333333333
4,7,34,7168,210.8235294117647
2,4,13,303,23.307692307692307
2,2,14,276,19.714285714285715
3,3,19,535,28.157894736842106
2,3,4,19,4.75
1,1,1,4,4.0
4,11,18,218,12.11111111111111
2,3,7,59,8.428571428571429
2,3,25,264,10.56
5,10,36,383,10.63888888888889
1,1,3,16,5.333333333333333
4,6,17,152,8.941176470588236
1,1,18,845,46.94444444444444
2,2,23,466,20.26086956521739
1,5,15,328,21.866666666666667
2,3,21,162,7.714285714285714
2,5,8,77,9.625
2,6,29,268,9.241379310344827
3,4,16,142,8.875
5,9,16,302,18.875
4,5,57,2496,43.78947368421053
2,3,9,45,5.0
1,1,5,14,2.8
1,1,16,73,4.5625
3,4,19,189,9.947368421052632
1,1,10,47,4.7
2,2,5,27,5.4
3,4,16,70,4.375
4,9,17,230,13.529411764705882
2,3,7,84,12.0
2,3,7,96,13.714285714285714
6,15,268,4829,18.01865671641791
6,23,260,4907,18.873076923076923
3,5,13,104,8.0
